pair,signal_time,entry_price,exit_time,exit_price,pnl_pct_net,pnl_dollars,position_dollars,exit_reason,score,shadow_balance_after
PORTALUSDT,2026-07-26 15:30:00+00:00,0.01023,2026-07-27 04:00:00+00:00,0.01032,0.5798,19.05,3286.12,Timeout ⏱️,0.7296795469432813,9972.95
LINEAUSDT,2026-07-26 15:00:00+00:00,0.002459,2026-07-27 03:30:00+00:00,0.002447,-0.788,-25.8,3273.85,Timeout ⏱️,0.5003721870919092,9947.15
ALPINEUSDT,2026-07-26 22:00:00+00:00,0.316,2026-07-27 03:00:00+00:00,0.32074,1.2,39.54,3295.33,TP 🟢,0.45240735897434337,9986.7
PHAUSDT,2026-07-26 22:00:00+00:00,0.0226,2026-07-27 08:30:00+00:00,0.022373999999999998,-1.3,-42.84,3295.33,SL 🔴,0.5801784677547474,9943.86
IOTAUSDT,2026-07-26 23:30:00+00:00,0.0348,2026-07-27 12:00:00+00:00,0.034451999999999997,-1.3,-43.15,3319.05,SL 🔴,0.5737668119505683,9900.71
SCRUSDT,2026-07-26 22:30:00+00:00,0.021,2026-07-27 06:00:00+00:00,0.020790000000000003,-1.3,-42.96,3304.77,SL 🔴,0.7906601197871921,9857.75
HYPERUSDT,2026-07-26 21:00:00+00:00,0.0654,2026-07-27 04:00:00+00:00,0.064746,-1.3,-42.96,3304.77,SL 🔴,0.49496500251956066,9814.78
SCRTUSDT,2026-07-26 22:30:00+00:00,0.0383,2026-07-27 06:00:00+00:00,0.037917,-1.3,-42.96,3304.77,SL 🔴,0.6162307656085962,9771.82
GMTUSDT,2026-07-26 21:30:00+00:00,0.00713,2026-07-27 09:00:00+00:00,0.0070587,-1.3,-42.96,3304.77,SL 🔴,0.5678013544128068,9728.86
DCRUSDT,2026-07-26 22:30:00+00:00,11.57,2026-07-27 11:00:00+00:00,11.54,-0.5593,-18.56,3317.97,Timeout ⏱️,0.5753341767552345,9710.3
DUSKUSDT,2026-07-26 22:30:00+00:00,0.0646,2026-07-27 09:00:00+00:00,0.06395400000000001,-1.3,-42.08,3236.77,SL 🔴,0.8370427675675318,9668.23
XNOUSDT,2026-07-26 22:30:00+00:00,0.379,2026-07-27 09:30:00+00:00,0.38500331337156407,1.284,41.38,3222.74,TP 🟢,0.8337692975416447,9709.61
MEGAUSDT,2026-07-26 22:30:00+00:00,0.04248,2026-07-27 11:00:00+00:00,0.04237,-0.5589,-18.09,3236.54,Timeout ⏱️,0.7690885209533614,9691.51
PIVXUSDT,2026-07-27 00:00:00+00:00,0.0353,2026-07-27 07:30:00+00:00,0.03494368486555705,-1.3094,-42.3,3230.5,SL 🔴,0.7156014700290694,9649.21
AIXBTUSDT,2026-07-26 22:00:00+00:00,0.01829,2026-07-27 09:30:00+00:00,0.0184408925,0.525,16.89,3216.4,Trail-Lock 🔒,0.7088099792014102,9666.1
GPSUSDT,2026-07-27 02:00:00+00:00,0.00911,2026-07-27 13:00:00+00:00,0.0090189,-1.3,-41.89,3222.03,SL 🔴,0.6746733904258446,9624.21
FILUSDT,2026-07-27 02:30:00+00:00,0.7434,2026-07-27 09:00:00+00:00,0.7359659999999999,-1.3,-41.7,3208.07,SL 🔴,0.6513253571373012,9582.51
TAOUSDT,2026-07-27 02:30:00+00:00,198.6,2026-07-27 09:00:00+00:00,196.614,-1.3,-41.52,3194.17,SL 🔴,0.628517313973678,9540.99
SKLUSDT,2026-07-26 22:30:00+00:00,0.00388,2026-07-27 06:00:00+00:00,0.0039120100000000005,0.525,16.7,3180.33,Trail-Lock 🔒,0.6179466782561633,9557.68
CUSDT,2026-07-27 02:30:00+00:00,0.0602,2026-07-27 03:00:00+00:00,0.06069665,0.525,16.73,3185.89,Trail-Lock 🔒,0.5677216119646303,9574.41
ORDIUSDT,2026-07-27 01:00:00+00:00,3.827,2026-07-27 04:30:00+00:00,3.78873,-1.3,-41.49,3191.47,SL 🔴,0.48995085757454127,9532.92
ERAUSDT,2026-07-28 19:00:00+00:00,0.0671,2026-07-29 03:00:00+00:00,0.06795807311191858,0.9788,32.63,3333.33,Trail-Lock 🔒,0.8132359572299341,10032.63
WINUSDT,2026-07-29 01:00:00+00:00,2.525e-05,2026-07-29 02:00:00+00:00,2.562875e-05,1.2,40.13,3344.21,TP 🟢,0.7904930267523937,10072.76
RIFUSDT,2026-07-28 18:30:00+00:00,0.0794,2026-07-29 01:30:00+00:00,0.07645887028279481,-4.0042,-134.44,3357.59,SL 🔴,0.7131957077614296,9938.31
SAPIENUSDT,2026-07-29 00:00:00+00:00,0.0803,2026-07-29 02:30:00+00:00,0.08096247499999999,0.525,17.39,3312.77,Trail-Lock 🔒,0.5889547587230297,9955.7
GRTUSDT,2026-07-28 23:30:00+00:00,0.01516,2026-07-29 01:30:00+00:00,0.0150084,-1.3,-43.14,3318.57,SL 🔴,0.5317648920065343,9912.56
GALAUSDT,2026-07-28 23:30:00+00:00,0.001824,2026-07-29 02:00:00+00:00,0.00180576,-1.3,-42.95,3304.19,SL 🔴,0.5187201645474702,9869.61
FILUSDT,2026-07-29 00:00:00+00:00,0.706,2026-07-29 01:30:00+00:00,0.69894,-1.3,-42.77,3289.87,SL 🔴,0.4842660748261621,9826.84
JASMYUSDT,2026-07-28 20:00:00+00:00,0.0043,2026-07-29 03:30:00+00:00,0.004257,-1.3,-43.07,3312.77,SL 🔴,0.595334905074651,9783.77
VETUSDT,2026-07-29 00:00:00+00:00,0.004544,2026-07-29 03:30:00+00:00,0.00449856,-1.3,-43.14,3318.57,SL 🔴,0.5858731078175947,9740.63
BCHUSDT,2026-07-29 00:00:00+00:00,214.1,2026-07-29 03:30:00+00:00,211.959,-1.3,-42.95,3304.19,SL 🔴,0.5273887472842235,9697.68
LINKUSDT,2026-07-28 23:30:00+00:00,8.42,2026-07-29 03:30:00+00:00,8.3358,-1.3,-42.58,3275.61,SL 🔴,0.4493406359066213,9655.1
ROSEUSDT,2026-07-28 21:30:00+00:00,0.00515,2026-07-29 04:00:00+00:00,0.00522725,1.2,38.62,3218.37,TP 🟢,0.8400633756268261,9693.72
PROMUSDT,2026-07-28 23:30:00+00:00,2.045,2026-07-29 04:30:00+00:00,2.0652893259323553,0.6921,22.36,3231.24,Trail-Lock 🔒,0.7377197236053663,9716.08
XLMUSDT,2026-07-28 20:30:00+00:00,0.172,2026-07-29 09:00:00+00:00,0.1745,1.1535,37.36,3238.69,Timeout ⏱️,0.5624083075620149,9753.44
EDUUSDT,2026-07-29 05:30:00+00:00,0.0312,2026-07-29 07:30:00+00:00,0.0314574,0.525,17.07,3251.15,Trail-Lock 🔒,0.8391494400058293,9770.51
XNOUSDT,2026-07-29 06:00:00+00:00,0.392,2026-07-29 06:30:00+00:00,0.4001021521553214,1.7669,57.54,3256.84,TP 🟢,0.822229076257128,9828.05
ZAMAUSDT,2026-07-29 04:30:00+00:00,0.0627,2026-07-29 06:30:00+00:00,0.06342613103746271,0.8581,28.11,3276.02,Trail-Lock 🔒,0.7360978928758813,9856.16
IDUSDT,2026-07-29 16:00:00+00:00,0.0276,2026-07-29 20:00:00+00:00,0.028014,1.2,39.42,3285.39,TP 🟢,0.8479023848451492,9895.59
ACEUSDT,2026-07-29 16:00:00+00:00,0.0713,2026-07-29 21:00:00+00:00,0.071888225,0.525,17.32,3298.53,Trail-Lock 🔒,0.842661224776108,9912.91
KAITOUSDT,2026-07-29 16:00:00+00:00,1.273,2026-07-29 22:30:00+00:00,1.287916314738474,0.8717,28.81,3304.3,Trail-Lock 🔒,0.8180184834766535,9941.71
DIAUSDT,2026-07-29 16:00:00+00:00,0.1154,2026-07-30 00:00:00+00:00,0.11846914513609821,2.3596,78.19,3313.9,TP 🟢,0.8021478688520561,10019.9
NILUSDT,2026-07-29 23:30:00+00:00,0.03471,2026-07-30 00:00:00+00:00,0.0349963575,0.525,17.53,3339.97,Trail-Lock 🔒,0.6909995680841083,10037.44
OPUSDT,2026-07-29 23:30:00+00:00,0.0877,2026-07-30 12:00:00+00:00,0.0877,-0.3,-10.02,3339.97,Timeout ⏱️,0.8013035763690641,10027.42
MEUSDT,2026-07-30 15:30:00+00:00,0.06106,2026-07-30 23:30:00+00:00,0.0604494,-1.3,-43.45,3342.47,SL 🔴,0.5009923793700082,9983.97
ZENUSDT,2026-07-30 20:00:00+00:00,3.852,2026-07-31 08:30:00+00:00,3.86,-0.0923,-3.07,3327.99,Timeout ⏱️,0.6914439088264159,9980.89
KITEUSDT,2026-07-30 20:00:00+00:00,0.0929,2026-07-31 08:30:00+00:00,0.0926,-0.6229,-20.73,3327.99,Timeout ⏱️,0.5691139807408196,9960.16
HYPERUSDT,2026-07-31 07:00:00+00:00,0.0592,2026-07-31 07:30:00+00:00,0.060191340841376506,1.3746,45.64,3320.05,TP 🟢,0.8319678104319357,10005.8
