
POLYXUSDT,2026-07-21 02:00:00+00:00,0.0376,2026-07-21 12:30:00+00:00,0.03773098228780883,0.0484,1.63,TP 🟢,0.8831940558552871,10093.0
GUSDT,2026-07-21 01:30:00+00:00,0.00323,2026-07-21 14:00:00+00:00,0.00326,0.6288,21.15,Timeout ⏱️,0.5885673444147522,10114.16
ARBUSDT,2026-07-22 04:30:00+00:00,0.09,2026-07-22 05:30:00+00:00,0.09135,1.2,40.46,TP 🟢,0.6102229851849543,10154.61
LUMIAUSDT,2026-07-22 04:30:00+00:00,0.0671,2026-07-22 06:30:00+00:00,0.06619127399089435,-1.6543,-56.0,3384.87,SL 🔴,0.8415108232924946,10098.62
VANRYUSDT,2026-07-22 06:30:00+00:00,0.004801,2026-07-22 08:00:00+00:00,0.0047173561246870435,-2.0422,-68.75,3366.21,SL 🔴,0.719086907226368,10029.87
EPICUSDT,2026-07-22 07:00:00+00:00,0.5662,2026-07-22 09:00:00+00:00,0.582761125558809,2.625,87.76,3343.29,TP 🟢,0.791482182083628,10117.63
XNOUSDT,2026-07-22 08:30:00+00:00,0.375,2026-07-22 09:00:00+00:00,0.3877944208076604,3.1118,104.95,3372.54,TP 🟢,0.7436778188776945,10222.58
BMTUSDT,2026-07-22 11:00:00+00:00,0.01207,2026-07-22 11:30:00+00:00,0.012251050000000001,1.2,40.89,3407.53,TP 🟢,0.8366593032243431,10263.47
BICOUSDT,2026-07-22 07:00:00+00:00,0.01391,2026-07-22 12:30:00+00:00,0.0137709,-1.3,-44.3,3407.53,SL 🔴,0.5772644504293798,10219.17
VANAUSDT,2026-07-22 10:30:00+00:00,1.191,2026-07-22 12:30:00+00:00,1.17909,-1.3,-44.48,3421.16,SL 🔴,0.6180407982637591,10174.7
SXTUSDT,2026-07-22 08:00:00+00:00,0.00703,2026-07-22 13:00:00+00:00,0.00713545,1.2,40.12,3343.29,TP 🟢,0.7449612364811238,10214.82
BANANAUSDT,2026-07-22 09:30:00+00:00,3.635,2026-07-22 15:30:00+00:00,3.6895249999999997,1.2,40.7,3391.57,TP 🟢,0.8496603420714208,10255.52
ESPUSDT,2026-07-22 09:00:00+00:00,0.07095,2026-07-22 17:00:00+00:00,0.07201425,1.2,40.7,3391.57,TP 🟢,0.6390288758579263,10296.22
PHAUSDT,2026-07-22 13:00:00+00:00,0.0228,2026-07-22 18:00:00+00:00,0.023142,1.2,40.86,3404.94,TP 🟢,0.4981717630508062,10337.07
DGBUSDT,2026-07-22 16:30:00+00:00,0.00316,2026-07-22 18:30:00+00:00,0.0032074,1.2,41.18,3432.07,TP 🟢,0.739912129964276,10378.26
IOTAUSDT,2026-07-22 15:00:00+00:00,0.0363,2026-07-22 18:30:00+00:00,0.0368445,1.2,41.35,3445.69,TP 🟢,0.5669836773908337,10419.61
ZROUSDT,2026-07-22 10:30:00+00:00,0.808,2026-07-22 23:00:00+00:00,0.799523941203887,-1.349,-46.85,3473.2,SL 🔴,0.6754607225576799,10372.75
MOVRUSDT,2026-07-22 13:30:00+00:00,1.317,2026-07-22 23:00:00+00:00,1.30383,-1.3,-45.15,3473.2,SL 🔴,0.6701436113127939,10327.6
ARBUSDT,2026-07-22 13:30:00+00:00,0.0895,2026-07-22 23:00:00+00:00,0.08860499999999999,-1.3,-44.75,3442.53,SL 🔴,0.6914852651780222,10282.85
PROMUSDT,2026-07-22 11:30:00+00:00,1.512,2026-07-23 00:00:00+00:00,1.4524291601688992,-4.2399,-144.94,3418.51,SL 🔴,0.6938322837420839,10137.91
ADAUSDT,2026-07-22 13:30:00+00:00,0.1732,2026-07-23 00:00:00+00:00,0.17579799999999998,1.2,41.13,3427.62,TP 🟢,0.6799800903436961,10179.04
QKCUSDT,2026-07-22 15:00:00+00:00,0.001958,2026-07-23 03:30:00+00:00,0.001968,0.2107,7.15,3393.01,Timeout ⏱️,0.6104610860173096,10186.19
ATUSDT,2026-07-22 13:30:00+00:00,0.1413,2026-07-23 02:00:00+00:00,0.1418,0.0539,1.83,3393.01,Timeout ⏱️,0.5225457417578809,10188.02
0GUSDT,2026-07-23 00:00:00+00:00,0.184,2026-07-23 02:00:00+00:00,0.18676,1.2,40.75,3396.01,TP 🟢,0.8498008840280947,10228.77
LUMIAUSDT,2026-07-22 21:30:00+00:00,0.0673,2026-07-23 01:30:00+00:00,0.0683095,1.2,40.92,3409.59,TP 🟢,0.8496956823387294,10269.68
